epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,213.567,0.67264,0.38184,0.94854,0.96416,0.979,0.98336,0.77093,0.78261,0.40458,0.95965,0.00176,0.00176,0.00176
110,215.492,0.63935,0.38476,0.93866,0.96538,0.98014,0.98544,0.78244,0.78558,0.37577,0.95992,0.00173,0.00173,0.00173
111,217.417,0.66641,0.38473,0.9581,0.9555,0.97471,0.98197,0.76847,0.83762,0.3963,0.97502,0.0017,0.0017,0.0017
112,219.345,0.65685,0.38875,0.94724,0.95821,0.98417,0.9869,0.77787,0.79194,0.39109,0.96534,0.00167,0.00167,0.00167
113,221.345,0.63903,0.36864,0.94592,0.96383,0.98493,0.98512,0.76784,0.81962,0.39656,0.97783,0.00164,0.00164,0.00164
114,223.275,0.64911,0.37254,0.95067,0.95623,0.98912,0.98435,0.77019,0.81014,0.38691,0.97318,0.00161,0.00161,0.00161
115,225.19,0.66719,0.38227,0.94101,0.95809,0.98495,0.98204,0.76853,0.80467,0.39328,0.97057,0.00158,0.00158,0.00158
116,227.121,0.6573,0.37609,0.93416,0.95681,0.98126,0.98307,0.76276,0.81844,0.39055,0.97836,0.00155,0.00155,0.00155
117,229.04,0.66178,0.38817,0.93947,0.95645,0.98014,0.98373,0.77257,0.79756,0.3867,0.96401,0.00152,0.00152,0.00152
118,230.952,0.61292,0.35884,0.92974,0.95705,0.98014,0.98419,0.77925,0.78304,0.3773,0.95725,0.00149,0.00149,0.00149
